Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Portland Trail Blazers*,24.5,49,33,55,27,5.59,-0.2,5.39,103.2,98,5.2,108,0.334,,0.53,0.481,16.9,33.4,0.254,0.46,17.2,69.3,0.255
2,Denver Nuggets*,27.3,50,32,54,28,5.22,-0.27,4.95,100.7,96.1,4.6,111.2,0.373,,0.531,0.481,18.8,34.2,0.275,0.463,18.2,68,0.211
3,Philadelphia 76ers*,25.6,50,32,51,31,3.94,-0.16,3.78,101.2,97.6,3.6,108.3,0.373,,0.53,0.48,18.3,34.6,0.275,0.451,16.7,66,0.197
4,Golden State Warriors*,25.8,46,36,49,33,3.22,-0.12,3.1,102.4,99.5,2.9,107.8,0.277,,0.518,0.475,15.6,33,0.211,0.47,17.2,67.8,0.224
5,Los Angeles Lakers*,27.2,53,29,48,34,2.72,-0.08,2.64,101.4,98.9,2.5,104.7,0.253,,0.515,0.478,15.3,31,0.188,0.452,15.6,66.1,0.194
6,Houston Rockets*,25.8,49,33,45,37,1.61,-0.17,1.44,104.5,102.9,1.6,101.3,0.287,,0.529,0.483,16.2,36,0.226,0.465,14.3,70.1,0.237
7,Cleveland Cavaliers*,27.4,43,39,44,38,1.12,-0.04,1.08,100,98.9,1.1,101.5,0.259,,0.489,0.449,13.7,32.6,0.191,0.449,15.7,68.1,0.241
8,Kansas City Kings,25.9,40,42,43,39,0.88,0.05,0.93,100.5,99.6,0.9,106.4,0.277,,0.509,0.46,15.4,30.9,0.221,0.472,17.4,70.3,0.264
9,Chicago Bulls*,26.1,44,38,44,38,0.9,0.02,0.92,98.3,97.4,0.9,100,0.3,,0.498,0.452,16,33.5,0.224,0.466,16.8,71.9,0.201
10,Washington Bullets*,27.4,48,34,44,38,1.02,-0.12,0.9,99.3,98.4,0.9,105.9,0.303,,0.51,0.47,16.5,31.6,0.217,0.458,14.9,70.3,0.189
11,Phoenix Suns,26.6,34,48,43,39,0.73,-0.09,0.64,98.1,97.5,0.6,106.6,0.323,,0.519,0.47,18.1,29,0.247,0.462,18.1,67.9,0.265
12,San Antonio Spurs*,25.8,44,38,43,39,0.61,-0.08,0.53,102.5,102,0.5,111.8,0.329,,0.538,0.485,16.8,29.2,0.263,0.487,16.9,65.7,0.187
13,New York Knicks,27.8,40,42,41,41,-0.01,0.03,0.01,100.1,100.1,0,108.1,0.276,,0.527,0.486,16.6,26.4,0.211,0.47,15.7,69.7,0.23
14,Detroit Pistons*,25.8,44,38,38,44,-1.04,0.04,-1,100.3,101.3,-1,108.8,0.252,,0.518,0.483,16.6,30.7,0.185,0.472,17.4,65.5,0.256
15,Seattle SuperSonics,25,40,42,37,45,-1.55,0.12,-1.43,96.7,98.2,-1.5,106.8,0.312,,0.491,0.45,16.8,33.8,0.215,0.462,18.4,65.9,0.254
16,Indiana Pacers,25.6,36,46,36,46,-1.77,0.09,-1.68,99.3,101,-1.7,107.1,0.293,,0.495,0.449,15.4,33.7,0.219,0.472,17.2,65.2,0.223
17,Boston Celtics*,28.7,44,38,36,46,-1.98,0.08,-1.9,96.5,98.3,-1.8,107.5,0.281,,0.491,0.445,16.1,31.1,0.212,0.45,13.4,72.8,0.204
18,New Orleans Jazz,26.1,35,47,33,49,-2.82,0.13,-2.68,97,99.7,-2.7,107.2,0.287,,0.501,0.453,16.6,31,0.222,0.452,15.5,68.2,0.238
19,Milwaukee Bucks,25,30,52,33,49,-3.12,0.13,-2.99,100,102.9,-2.9,108.3,0.264,,0.508,0.468,15.8,31.8,0.198,0.479,15.8,66.6,0.222
20,Atlanta Hawks,24.5,31,51,30,52,-4.06,0.19,-3.87,97.8,101.6,-3.8,104.6,0.342,,0.508,0.457,17.7,32.9,0.256,0.478,17,69.1,0.267
21,Buffalo Braves,25.6,30,52,29,53,-4.44,0.16,-4.28,97.6,101.8,-4.2,107.3,0.333,,0.502,0.45,16.5,30.8,0.252,0.478,15.5,67.4,0.177
22,New York Nets,25.8,22,60,23,59,-6.78,0.24,-6.54,92.2,98.7,-6.5,103.7,0.315,,0.478,0.429,16.5,28.3,0.232,0.464,17.5,68.9,0.263
,League Average,26.1,,,41,41,0,0,0,99.5,99.5,,106.5,0.301,,0.511,0.465,16.5,31.8,0.226,0.465,16.5,68.2,0.226
