,,,Place,,Conference,,Division,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Boston Celtics,63-19,35-6,28-13,43-15,20-4,19-5,24-10,1-Nov,3-Sep,41-9,22-10,4-Jul,37-7,Feb-00,1-Nov,13-5,3-Nov,3-Oct,3-Dec,4-Apr
2,Los Angeles Lakers,62-20,36-5,26-15,15-7,47-13,3-Jul,4-Aug,23-7,24-6,35-16,27-4,9-May,31-9,2-Jan,4-Nov,4-Oct,6-Sep,2-Nov,13-1,1-Jul
3,Milwaukee Bucks,59-23,36-5,23-18,39-19,20-4,19-9,20-10,2-Oct,2-Oct,34-17,25-6,8-Aug,38-6,1-Feb,6-Sep,4-Nov,3-Oct,4-Sep,13-3,2-May
4,Philadelphia 76ers,58-24,34-7,24-17,40-18,18-6,15-9,25-9,5-Jul,1-Nov,39-10,19-14,5-Nov,26-8,Mar-00,4-Sep,2-Dec,3-Dec,4-Oct,7-Aug,4-Apr
5,Denver Nuggets,52-30,34-7,18-23,15-7,37-23,3-Jul,4-Aug,17-13,20-10,31-20,21-10,7-Oct,26-15,1-Jan,2-Nov,9-Jul,5-Nov,4-Aug,5-Oct,4-Apr
6,Houston Rockets,48-34,29-12,19-22,10-Dec,36-24,6-Apr,4-Aug,20-10,16-14,28-21,20-13,4-Sep,21-14,Feb-00,5-Oct,8-Jun,7-Aug,4-Aug,6-Sep,4-May
7,Detroit Pistons,46-36,26-15,20-21,31-27,15-9,19-Oct,21-8,5-Jul,4-Aug,30-19,16-17,10-Jun,20-14,2-Jan,7-Jul,6-Aug,2-Dec,8-May,8-Jul,3-Jun
8,Dallas Mavericks,44-38,24-17,20-21,11-Nov,33-27,5-May,6-Jun,14-16,19-11,27-23,17-15,8-Jun,20-21,2-Feb,7-Jul,6-Jun,7-Sep,4-Aug,8-Sep,4-Mar
9,New Jersey Nets,42-40,27-14,15-26,34-24,16-Aug,13-11,21-13,10-Feb,6-Jun,24-26,18-14,7-Sep,18-22,3-Jan,5-Jul,9-Jul,9-Jun,3-Aug,9-Aug,2-May
10,Portland Trail Blazers,42-40,30-11,29-Dec,13-9,29-31,4-Jun,5-Jul,18-Dec,17-13,22-28,20-12,7-Feb,30-16,Feb-00,8-Aug,9-Apr,9-Jun,6-Jul,6-Oct,2-May
11,San Antonio Spurs,41-41,30-11,30-Nov,12-Oct,31-29,6-Apr,6-Jun,18-Dec,19-11,25-25,16-16,10-Jun,18-18,Feb-00,9-May,9-Jul,5-Aug,8-Jun,7-Oct,3-Mar
12,Utah Jazz,41-41,26-15,15-26,13-Sep,32-28,6-Apr,7-May,19-11,13-17,23-27,18-14,5-Sep,19-19,2-Jan,7-Aug,8-Jun,9-May,5-Aug,8-Sep,2-Apr
13,Washington Bullets,40-42,28-13,29-Dec,28-30,12-Dec,13-Nov,17-17,5-Jul,7-May,28-24,18-Dec,5-Aug,16-14,2-Feb,5-Sep,6-Aug,7-Aug,9-Mar,8-Jul,5-Mar
14,Chicago Bulls,38-44,26-15,29-Dec,24-34,14-10,17-Nov,13-17,6-Jun,4-Aug,24-25,14-19,7-Nov,13-16,1-Mar,8-Jun,6-Jul,7-Aug,9-Feb,9-Sep,4-Mar
15,Cleveland Cavaliers,36-46,20-21,16-25,25-33,13-Nov,17-Dec,13-16,7-May,6-Jun,16-33,20-13,5-Sep,22-Nov,0-3,10-Feb,9-Apr,9-Jul,6-Sep,6-Sep,3-May
16,Phoenix Suns,36-46,26-15,31-Oct,13-Sep,27-33,6-Apr,7-May,18-Dec,15-15,25-25,21-Nov,4-Jun,17-23,Mar-00,8-Jul,7-Jul,10-May,7-Jun,11-Apr,3-Apr
17,Atlanta Hawks,34-48,19-22,15-26,25-33,15-Sep,18-Oct,15-15,10-Feb,5-Jul,21-29,13-19,12-Jun,17-22,2-Jan,8-Jun,9-Jun,7-Jun,8-May,11-May,3-May
18,Kansas City Kings,31-51,23-18,Aug-33,13-Sep,22-38,5-May,8-Apr,22-Aug,14-16,16-33,15-18,9-Apr,22-Dec,0-2,11-Mar,5-Aug,12-Apr,9-Apr,6-Nov,6-Jan
19,Los Angeles Clippers,31-51,20-21,30-Nov,17-May,26-34,8-Feb,9-Mar,15-15,19-Nov,20-30,21-Nov,5-Aug,26-Nov,1-Jan,11-May,7-Aug,9-May,9-Mar,12-May,2-Apr
20,Seattle SuperSonics,31-51,20-21,30-Nov,14-Aug,23-37,7-Mar,7-May,20-Oct,13-17,21-30,21-Oct,6-Aug,31-Dec,2-Jan,9-May,7-Aug,8-Jul,8-Apr,10-May,7-Jan
21,New York Knicks,24-58,19-22,May-36,16-42,16-Aug,22-Feb,14-20,8-Apr,8-Apr,18-33,25-Jun,10-Aug,30-Jul,1-Jan,10-Jul,11-Apr,8-May,9-Mar,12-Apr,0-7
22,Golden State Warriors,22-60,17-24,May-36,17-May,17-43,7-Mar,10-Feb,23-Jul,20-Oct,Nov-38,22-Nov,7-Jun,27-Jun,0-3,8-Jun,9-Apr,0-15,9-May,11-May,5-Feb
23,Indiana Pacers,22-60,16-25,Jun-35,14-44,16-Aug,21-Jul,23-Jul,7-May,9-Mar,16-34,26-Jun,13-May,30-Jun,0-2,11-May,9-Mar,9-Jul,8-Apr,16-Jan,5-Feb
