,,,Place,,Conference,,Division,,,,All-Star,,Margin,,Month,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,M,P,Pre,Post,≤3,≥10,Nov,Dec,Jan,Feb,Mar,Apr
1,Los Angeles Lakers,63-19,37-4,26-15,19-7,44-12,2-Oct,5-Sep,22-6,22-6,35-11,28-8,7-Jun,30-7,2-Nov,4-Oct,5-Oct,2-Oct,4-Dec,2-Oct
2,Detroit Pistons,59-23,35-6,24-17,40-14,19-9,18-6,22-8,4-Oct,5-Sep,35-14,24-9,4-Jun,32-8,5-Sep,6-Sep,13-3,1-Oct,4-Nov,4-Jul
3,Portland Trail Blazers,59-23,35-6,24-17,18-8,41-15,2-Oct,6-Aug,21-7,20-8,33-13,26-10,6-Jul,33-8,3-Nov,7-Aug,2-Dec,5-Jul,13-4,2-Aug
4,San Antonio Spurs,56-26,34-7,22-19,16-10,40-16,3-Sep,7-Jul,19-9,21-7,32-14,24-12,3-Oct,23-9,5-Aug,2-Nov,6-Oct,5-Aug,5-Nov,3-Aug
5,Chicago Bulls,55-27,36-5,19-22,37-17,18-10,17-7,20-10,5-Sep,5-Sep,28-19,27-8,7-Aug,26-12,6-Aug,3-Nov,6-Sep,5-Jul,3-Dec,4-Aug
6,Utah Jazz,55-27,36-5,19-22,17-9,38-18,4-Aug,5-Sep,21-7,17-11,33-14,22-13,3-Aug,35-15,4-Aug,5-Nov,3-Nov,4-Sep,4-Nov,7-May
7,Phoenix Suns,54-28,32-9,22-19,16-10,38-18,3-Sep,7-Jul,18-10,20-8,28-17,26-11,5-Jun,38-7,6-May,7-Jul,13-3,1-Nov,6-Dec,5-Jun
8,Philadelphia 76ers,53-29,34-7,19-22,37-17,16-12,19-7,18-10,6-Aug,6-Aug,30-18,23-11,6-Jun,30-12,4-Aug,9-Jul,3-Dec,5-Aug,5-Nov,3-Jul
9,Boston Celtics,52-30,30-11,22-19,36-18,16-12,19-7,17-11,5-Sep,7-Jul,28-18,24-12,4-Jul,30-11,7-Aug,4-Sep,5-Sep,6-Jul,6-Sep,2-Oct
10,Dallas Mavericks,47-35,30-11,17-24,18-8,29-27,4-Aug,4-Oct,17-11,16-Dec,26-22,21-13,3-Jul,20-19,7-Jun,6-Sep,7-Sep,5-Jul,5-Sep,5-Jul
11,New York Knicks,45-37,29-12,16-25,30-24,15-13,17-9,13-15,7-Jul,6-Aug,32-16,13-21,9-Jun,20-18,5-Sep,2-Nov,9-Jul,3-Sep,12-Apr,6-May
12,Milwaukee Bucks,44-38,27-14,17-24,28-26,16-12,14-10,14-16,6-Aug,6-Aug,27-22,17-16,9-Aug,18-18,7-Jul,6-Aug,6-Oct,5-Jul,10-May,4-Jul
