Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,19855,2884,6781,0.425,355,1036,0.343,2529,5745,0.44,1276,1726,0.739,986,2410,3396,1667,645,429,1181,1893,7399
2,New York Knicks*,82,19830,2711,6398,0.424,404,1197,0.338,2307,5201,0.444,1609,2153,0.747,927,2441,3368,1609,603,354,1161,1799,7435
3,Portland Trail Blazers*,82,19780,2825,6557,0.431,394,1195,0.33,2431,5362,0.453,1422,1985,0.716,978,2220,3198,1705,652,350,1186,1872,7466
4,Miami Heat*,82,19830,2782,6595,0.422,408,1130,0.361,2374,5465,0.434,1512,2022,0.748,974,2341,3315,1582,621,364,1150,1795,7484
5,Utah Jazz*,82,19755,2781,6240,0.446,388,1097,0.354,2393,5143,0.465,1598,2141,0.746,887,2236,3123,1620,588,411,1270,2023,7548
6,Los Angeles Lakers*,82,19805,2838,6824,0.416,372,1142,0.326,2466,5682,0.434,1518,2045,0.742,1007,2531,3538,1597,627,345,1196,2099,7566
7,Philadelphia 76ers*,82,19830,2867,6595,0.435,417,1172,0.356,2450,5423,0.452,1510,2001,0.755,1065,2501,3566,1828,631,531,1444,1977,7661
8,Phoenix Suns*,82,19805,2825,6665,0.424,403,1146,0.352,2422,5519,0.439,1630,2205,0.739,1071,2465,3536,1700,733,427,1422,1794,7683
9,Chicago Bulls,82,19805,2916,6396,0.456,358,1049,0.341,2558,5347,0.478,1533,2070,0.741,1000,2416,3416,1902,853,461,1244,1966,7723
10,Charlotte Hornets*,82,19780,3048,6811,0.448,410,1086,0.378,2638,5725,0.461,1347,1807,0.745,966,2550,3516,1903,604,421,1297,2076,7853
11,Minnesota Timberwolves*,82,19905,2924,6576,0.445,380,1066,0.356,2544,5510,0.462,1644,2185,0.752,916,2440,3356,1737,591,344,1232,1685,7872
12,Indiana Pacers*,82,19730,3113,6982,0.446,329,1006,0.327,2784,5976,0.466,1374,1821,0.755,1040,2545,3585,1735,610,323,1126,1910,7929
13,Toronto Raptors*,82,19755,3002,6615,0.454,346,1021,0.339,2656,5594,0.475,1631,2136,0.764,961,2552,3513,1790,557,434,1250,1874,7981
14,Seattle SuperSonics*,82,19780,3132,6941,0.451,440,1293,0.34,2692,5648,0.477,1343,1795,0.748,1084,2611,3695,1939,590,433,1258,1839,8047
15,New Jersey Nets,82,19830,3125,6741,0.464,368,1013,0.363,2757,5728,0.481,1503,2012,0.747,1129,2657,3786,1866,568,469,1366,1869,8121
16,Orlando Magic,82,19755,3076,6919,0.445,431,1277,0.338,2645,5642,0.469,1567,2104,0.745,1094,2473,3567,1991,724,475,1488,2008,8150
17,Vancouver Grizzlies,82,19855,3136,6613,0.474,361,1083,0.333,2775,5530,0.502,1530,1989,0.769,970,2336,3306,1932,725,519,1234,1912,8163
18,Atlanta Hawks,82,19830,3211,7060,0.455,373,1015,0.367,2838,6045,0.469,1381,1796,0.769,1052,2474,3526,1886,655,404,1001,1830,8176
19,Washington Wizards,82,19805,3005,6547,0.459,390,1052,0.371,2615,5495,0.476,1790,2405,0.744,962,2418,3380,1793,686,503,1225,1967,8190
20,Boston Celtics,82,19730,2960,6304,0.47,359,995,0.361,2601,5309,0.49,1929,2563,0.753,857,2534,3391,1798,638,473,1395,1928,8208
21,Houston Rockets,82,19830,3226,7074,0.456,350,990,0.354,2876,6084,0.473,1425,1829,0.779,1027,2451,3478,1863,735,433,1126,1833,8227
22,Cleveland Cavaliers,82,19855,2983,6736,0.443,420,1229,0.342,2563,5507,0.465,1851,2385,0.776,1013,2586,3599,1942,659,500,1389,2058,8237
23,Milwaukee Bucks*,82,19855,3033,6644,0.457,531,1357,0.391,2502,5287,0.473,1685,2241,0.752,1037,2368,3405,1987,637,340,1303,1870,8282
24,Denver Nuggets,82,19855,3129,6953,0.45,399,1126,0.354,2730,5827,0.469,1632,2174,0.751,1027,2606,3633,2003,616,462,1179,1937,8289
25,Dallas Mavericks,82,19730,3225,7053,0.457,429,1244,0.345,2796,5809,0.481,1484,2005,0.74,1251,2719,3970,1901,604,416,1318,1814,8363
26,Detroit Pistons*,82,19830,3119,6706,0.465,458,1234,0.371,2661,5472,0.486,1669,2237,0.746,973,2504,3477,1893,652,396,1400,2219,8365
27,Sacramento Kings*,82,19805,3269,7239,0.452,396,1123,0.353,2873,6116,0.47,1434,1910,0.751,1143,2761,3904,1950,753,404,1437,1943,8368
28,Los Angeles Clippers,82,19705,3281,6879,0.477,417,1077,0.387,2864,5802,0.494,1512,2041,0.741,1038,2699,3737,1975,621,377,1172,1731,8491
29,Golden State Warriors,82,19755,3165,6776,0.467,427,1163,0.367,2738,5613,0.488,1755,2328,0.754,1091,2691,3782,2036,690,495,1338,1887,8512
,League Average,82,19802,3020,6732,0.449,397,1125,0.353,2623,5607,0.468,1555,2073,0.75,1018,2501,3519,1832,651,424,1269,1911,7993
