Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Sacramento Kings*,82,19805,3276,7288,0.45,534,1656,0.322,2742,5632,0.487,1521,2016,0.754,1056,2635,3691,1953,787,381,1325,1729,8607
2,Detroit Pistons*,82,19830,3044,6635,0.459,439,1223,0.359,2605,5412,0.481,1956,2506,0.781,917,2458,3375,1707,665,273,1288,2011,8483
3,Dallas Mavericks,82,19730,3195,7047,0.453,519,1326,0.391,2676,5721,0.468,1407,1751,0.804,931,2444,3375,1810,592,416,1124,1770,8316
4,Indiana Pacers*,82,19730,3047,6640,0.459,583,1487,0.392,2464,5153,0.478,1629,2008,0.811,842,2612,3454,1857,559,422,1159,1786,8306
5,Milwaukee Bucks*,82,19855,3174,6827,0.465,394,1069,0.369,2780,5758,0.483,1558,1982,0.786,1016,2373,3389,1852,671,381,1230,2020,8300
6,Los Angeles Lakers*,82,19805,3137,6836,0.459,344,1047,0.329,2793,5789,0.482,1649,2368,0.696,1117,2738,3855,1921,613,534,1143,1841,8267
7,Orlando Magic,82,19755,3169,7014,0.452,294,870,0.338,2875,6144,0.468,1574,2142,0.735,1145,2540,3685,1709,743,467,1443,1967,8206
8,Houston Rockets,82,19830,3001,6664,0.45,581,1625,0.358,2420,5039,0.48,1573,2145,0.733,1008,2586,3594,1774,613,438,1425,1663,8156
9,Boston Celtics,82,19730,3054,6880,0.444,417,1260,0.331,2637,5620,0.469,1621,2175,0.745,1108,2420,3528,1741,795,286,1259,2223,8146
10,Seattle SuperSonics*,82,19780,3108,6946,0.447,546,1611,0.339,2562,5335,0.48,1363,1960,0.695,1042,2483,3525,1878,657,345,1152,1776,8125
11,Denver Nuggets,82,19855,3057,6911,0.442,470,1397,0.336,2587,5514,0.469,1531,2116,0.724,1073,2590,3663,1911,554,618,1281,1962,8115
12,Phoenix Suns*,82,19805,3093,6771,0.457,458,1246,0.368,2635,5525,0.477,1467,1934,0.759,1022,2558,3580,2098,744,433,1368,1973,8111
13,Minnesota Timberwolves*,82,19905,3226,6910,0.467,248,716,0.346,2978,6194,0.481,1379,1769,0.78,1016,2471,3487,2205,622,444,1139,1913,8079
14,Charlotte Hornets*,82,19780,2935,6533,0.449,339,1001,0.339,2596,5532,0.469,1863,2458,0.758,884,2635,3519,2023,732,480,1206,1670,8072
15,New Jersey Nets,82,19830,2979,6881,0.433,477,1374,0.347,2502,5507,0.454,1601,2041,0.784,1040,2315,3355,1688,720,393,1119,1913,8036
16,Portland Trail Blazers*,82,19780,3021,6430,0.47,407,1128,0.361,2614,5302,0.493,1542,2029,0.76,966,2560,3526,1925,633,396,1243,1865,7991
17,Toronto Raptors*,82,19755,2980,6882,0.433,425,1171,0.363,2555,5711,0.447,1583,2068,0.765,1098,2449,3547,1947,666,544,1137,1989,7968
18,Cleveland Cavaliers,82,19855,2977,6734,0.442,343,919,0.373,2634,5815,0.453,1653,2205,0.75,1010,2499,3509,1941,715,363,1427,2219,7950
19,Washington Wizards,82,19805,3010,6681,0.451,335,890,0.376,2675,5791,0.462,1566,2107,0.743,1064,2438,3502,1771,593,383,1320,2149,7921
20,Utah Jazz*,82,19755,2962,6380,0.464,329,854,0.385,2633,5526,0.476,1661,2150,0.773,936,2426,3362,2041,629,446,1220,2013,7914
21,San Antonio Spurs*,82,19855,2952,6393,0.462,330,882,0.374,2622,5511,0.476,1652,2214,0.746,927,2666,3593,1819,614,551,1233,1716,7886
22,Golden State Warriors,82,19755,2996,7140,0.42,345,1069,0.323,2651,6071,0.437,1497,2147,0.697,1300,2438,3738,1851,731,356,1302,2043,7834
23,Philadelphia 76ers*,82,19830,2993,6776,0.442,208,643,0.323,2785,6133,0.454,1577,2226,0.708,1147,2468,3615,1817,791,386,1284,1939,7771
24,Miami Heat*,82,19830,2974,6462,0.46,446,1202,0.371,2528,5260,0.481,1345,1827,0.736,921,2619,3540,1931,582,524,1231,1947,7739
25,Atlanta Hawks,82,19830,3000,6807,0.441,258,814,0.317,2742,5993,0.458,1477,1987,0.743,1146,2570,3716,1548,500,461,1266,1718,7735
26,Vancouver Grizzlies,82,19855,2892,6441,0.449,324,898,0.361,2568,5543,0.463,1594,2060,0.774,1005,2324,3329,1700,608,346,1381,1881,7702
27,New York Knicks*,82,19830,2897,6374,0.455,351,937,0.375,2546,5437,0.468,1410,1805,0.781,802,2521,3323,1588,515,349,1201,1983,7555
28,Los Angeles Clippers,82,19705,2877,6757,0.426,429,1267,0.339,2448,5490,0.446,1363,1826,0.746,955,2377,3332,1479,578,494,1325,1821,7546
29,Chicago Bulls,82,19805,2565,6180,0.415,340,1032,0.329,2225,5148,0.432,1482,2089,0.709,1032,2323,3355,1645,646,383,1557,1908,6952
,League Average,82,19802,3020,6732,0.449,397,1125,0.353,2623,5607,0.468,1555,2073,0.75,1018,2501,3519,1832,651,424,1269,1911,7993
