,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,62-20,31-10,31-10,24-6,38-14,1-Sep,3-Jul,2-Aug,15-3,4-Dec,7-Nov,41-13,21-7,2-Jul,36-8,2-Dec,13-2,6-Nov,4-Jul,3-Nov,3-Aug
2,Miami Heat,59-23,35-6,24-17,41-11,18-12,14-4,6-Dec,15-1,5-May,2-Aug,5-May,40-14,19-9,8-Jul,33-6,6-Oct,14-1,6-Sep,3-Sep,3-Dec,4-May
3,San Antonio Spurs,59-23,38-3,21-20,23-7,36-16,2-Aug,2-Aug,3-Jul,8-Oct,16-2,6-Oct,41-12,18-11,7-Sep,40-5,3-Dec,13-3,4-Dec,3-Jun,5-Oct,5-Jun
4,Dallas Mavericks,58-24,29-12,29-12,23-7,35-17,1-Sep,4-Jun,2-Aug,14-4,8-Oct,5-Nov,35-16,23-8,4-Aug,28-10,6-Oct,4-Sep,4-Sep,3-Oct,6-Oct,1-Oct
5,Detroit Pistons,54-28,32-9,22-19,35-17,19-11,14-4,8-Aug,13-5,5-May,2-Aug,4-Jun,32-19,22-9,8-Aug,26-14,7-Jul,6-Aug,5-Nov,1-Sep,8-Sep,1-Oct
6,Seattle SuperSonics,52-30,26-15,26-15,21-9,31-21,3-Jul,3-Jul,3-Jul,5-Nov,8-Oct,8-Oct,35-15,17-15,5-Jul,25-15,13-3,3-Sep,7-Aug,3-Aug,6-Nov,8-Mar
7,Houston Rockets,51-31,26-15,25-16,18-12,33-19,3-Jul,4-Jun,5-May,6-Dec,7-Nov,6-Oct,32-21,19-10,6-Dec,28-11,10-Jun,5-Sep,6-Oct,3-Jul,4-Dec,3-Jul
8,Sacramento Kings,50-32,30-11,20-21,22-8,28-24,2-Aug,2-Aug,4-Jun,9-Sep,6-Oct,9-Sep,33-20,17-12,7-Oct,20-15,5-Sep,4-Sep,4-Dec,8-Jun,8-Aug,3-Jun
9,Denver Nuggets,49-33,31-10,18-23,21-9,28-24,3-Jul,3-Jul,3-Jul,7-Sep,11-Jul,6-Dec,24-29,25-4,4-Aug,25-18,6-Aug,9-Jun,10-May,4-Aug,2-Dec,2-Oct
10,Chicago Bulls,47-35,27-14,20-21,32-20,15-15,7-Nov,8-Aug,13-5,2-Aug,7-Mar,6-Apr,26-23,21-12,5-Jul,15-15,10-Jan,7-Aug,13-3,4-Jul,7-Nov,4-Jul
