,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Cleveland Cavaliers,61-21,35-6,26-15,38-14,23-7,15-3,4-Dec,7-Nov,3-Jul,Oct-00,4-Jun,43-11,18-10,8-Jul,32-5,2-Feb,3-Oct,14-3,3-Dec,3-Aug,13-2,5-Feb
2,Orlando Magic,59-23,34-7,25-16,39-13,20-10,16-2,13-5,6-Oct,4-Jun,2-Aug,4-Jun,36-18,23-5,4-Mar,39-6,Feb-00,4-Dec,4-Sep,8-Sep,4-Aug,2-Dec,1-Jul
3,Los Angeles Lakers,57-25,34-7,23-18,22-8,35-17,2-Aug,2-Aug,4-Jun,7-Nov,13-3,7-Nov,41-13,16-12,7-Nov,27-13,1-Jan,2-Dec,3-Dec,5-Dec,4-Aug,6-Sep,4-Mar
4,Dallas Mavericks,55-27,28-13,27-14,22-8,33-19,4-Jun,1-Sep,3-Jul,9-Sep,14-4,6-Oct,32-20,23-7,2-Sep,21-14,1-Feb,4-Nov,5-Sep,7-Aug,4-Sep,4-Nov,2-May
5,Phoenix Suns,54-28,32-9,22-19,19-11,35-17,1-Sep,5-May,5-May,7-Nov,4-Dec,6-Dec,31-22,23-6,4-May,31-10,Feb-00,3-Dec,9-Jul,9-Jul,3-Sep,2-Dec,2-May
6,Atlanta Hawks,53-29,34-7,19-22,32-20,21-9,13-5,7-Nov,8-Aug,3-Jul,3-Jul,3-Jul,33-18,20-11,6-Apr,31-9,Feb-00,5-Oct,5-Sep,6-Sep,5-Jul,5-Nov,3-May
7,Denver Nuggets,53-29,34-7,19-22,19-11,34-18,3-Jul,3-Jul,5-May,4-Dec,7-Nov,7-Nov,35-18,18-11,4-Sep,29-13,Feb-00,5-Oct,7-Aug,3-Dec,5-Jul,7-Sep,2-May
8,Utah Jazz,53-29,32-9,21-20,22-8,31-21,1-Sep,3-Jul,4-Jun,8-Aug,8-Oct,13-5,32-19,21-10,3-May,32-14,1-Jan,6-Sep,7-Aug,4-Oct,3-Oct,5-Dec,3-Mar
9,Boston Celtics,50-32,24-17,26-15,33-19,17-13,13-3,8-Oct,8-Oct,3-Jul,5-May,5-May,32-18,18-14,6-Aug,23-10,Mar-00,4-Oct,4-Oct,8-Jun,5-Jul,6-Nov,5-Mar
10,Oklahoma City Thunder,50-32,27-14,23-18,22-8,28-24,1-Sep,5-May,2-Aug,7-Sep,7-Nov,10-Aug,30-21,20-11,11-Jul,25-9,Feb-00,8-Jul,6-Sep,7-Aug,2-Sep,5-Nov,4-Apr
11,Portland Trail Blazers,50-32,26-15,24-17,17-13,33-19,4-Jun,4-Jun,5-May,8-Aug,13-5,6-Dec,31-24,19-8,3-Jun,24-13,2-Jan,5-Nov,6-Sep,8-Jul,6-Jul,2-Nov,3-Apr
12,San Antonio Spurs,50-32,29-12,21-20,19-11,31-21,4-Jun,4-Jun,3-Jul,10-Aug,14-4,7-Sep,30-21,20-11,4-Jun,34-9,1-Feb,5-Jul,5-Oct,8-Aug,5-Jun,5-Dec,3-May
13,Miami Heat,47-35,24-17,23-18,32-20,15-15,13-5,8-Oct,7-Sep,6-Apr,3-Jul,6-Apr,26-27,21-8,3-Jul,27-18,Feb-00,7-Jul,7-Jul,9-Aug,8-May,3-Dec,1-Jun
14,Milwaukee Bucks,46-36,28-13,18-23,31-21,15-15,13-5,6-Oct,10-Aug,3-Jul,5-May,7-Mar,24-27,22-9,12-Jul,19-17,1-Jan,6-Aug,11-Mar,7-Aug,4-Oct,4-Nov,3-May
15,Charlotte Bobcats,44-38,31-10,13-28,27-25,17-13,10-Aug,9-Sep,6-Oct,6-Apr,2-Aug,5-May,26-25,18-13,7-Sep,21-11,2-Jan,7-Jun,9-May,4-Dec,7-Apr,6-Nov,3-May
16,Houston Rockets,42-40,23-18,19-22,14-16,28-24,3-Jul,6-Apr,7-Mar,7-Nov,10-Aug,7-Sep,27-24,15-16,5-May,17-15,1-Feb,7-Jul,5-Nov,9-May,7-Apr,8-Aug,3-May
17,Chicago Bulls,41-41,24-17,17-24,28-24,13-17,8-Oct,6-Oct,10-Aug,6-Apr,7-Mar,4-Jun,25-26,16-15,5-Jul,15-21,1-Jan,8-May,8-Jul,5-Oct,6-Aug,11-Apr,2-Jun
18,Memphis Grizzlies,40-42,23-18,17-24,18-12,22-30,2-Aug,4-Jun,6-Apr,10-Aug,9-Sep,11-May,26-25,14-17,4-Jun,17-26,1-Jan,11-May,4-Sep,5-Oct,8-May,7-Aug,6-Feb
19,Toronto Raptors,40-42,25-16,15-26,29-23,19-Nov,5-Nov,8-Oct,10-Aug,8-Feb,6-Apr,5-May,29-23,19-Nov,5-Jun,19-24,1-Jan,10-Jun,6-Sep,5-Oct,5-May,10-Jun,5-Mar
20,New Orleans Hornets,37-45,24-17,13-28,19-Nov,26-26,8-Feb,6-Apr,5-May,10-Aug,7-Nov,9-Jul,28-25,20-Sep,3-Jun,24-May,1-Jan,9-Jun,6-Jul,5-Dec,8-May,12-Apr,4-Feb
21,Indiana Pacers,32-50,23-18,Sep-32,23-29,21-Sep,7-Nov,10-Jun,12-Jun,7-Mar,6-Apr,8-Feb,18-34,14-16,5-Mar,20-28,0-2,7-Jun,13-Mar,10-Jul,7-Apr,8-Aug,3-Apr
22,Los Angeles Clippers,29-53,21-20,Aug-33,14-16,15-37,6-Apr,4-Jun,6-Apr,11-Jul,11-May,15-Mar,21-31,22-Aug,3-May,Dec-35,0-4,6-Aug,8-Jun,9-Jun,8-Apr,13-Mar,5-Feb
23,New York Knicks,29-53,18-23,30-Nov,20-32,21-Sep,10-Jun,12-Jun,10-Aug,7-Mar,7-Mar,7-Mar,19-32,21-Oct,6-Apr,28-Oct,0-3,11-Mar,6-Sep,9-Jun,9-Feb,10-Jun,5-Mar
24,Detroit Pistons,27-55,17-24,31-Oct,18-34,21-Sep,11-Jul,14-Feb,9-Sep,7-Mar,8-Feb,6-Apr,18-33,22-Sep,1-Apr,29-Jul,2-Jan,9-May,10-May,10-Apr,7-Jun,13-Feb,4-Apr
25,Philadelphia 76ers,27-55,29-Dec,15-26,14-38,13-17,9-Jul,13-May,16-Feb,7-Mar,6-Apr,4-Jun,20-32,23-Jul,8-Jun,15-26,1-Feb,12-Mar,10-Apr,8-Jul,5-Jun,13-Apr,6-Jan
26,Golden State Warriors,26-56,18-23,Aug-33,19-Nov,15-37,3-Jul,7-Mar,9-Jan,12-Jun,11-May,14-Apr,14-37,19-Dec,8-Feb,14-28,0-2,8-Jun,12-Mar,11-Apr,8-Apr,12-Apr,3-May
27,Washington Wizards,26-56,15-26,30-Nov,18-34,22-Aug,8-Oct,13-May,13-Mar,7-Mar,7-Mar,8-Feb,17-33,23-Sep,12-May,Nov-31,1-Feb,9-Mar,10-May,10-Jun,6-May,16-Jan,4-Apr
28,Sacramento Kings,25-57,18-23,Jul-34,21-Sep,16-36,6-Apr,6-Apr,9-Jan,11-Jul,11-May,14-Apr,18-34,23-Jul,7-Jun,27-Oct,0-3,5-Aug,9-Jun,13-Feb,9-Apr,13-Apr,5-Jan
29,Minnesota Timberwolves,15-67,31-Oct,May-36,23-Jul,Aug-44,6-Apr,9-Jan,8-Feb,13-Mar,15-Mar,16-Feb,13-40,27-Feb,9-Mar,Apr-39,1-Jan,14-Jan,11-May,12-Apr,9-Mar,13-Jan,0-7
30,New Jersey Nets,Dec-70,Aug-33,Apr-37,Aug-44,26-Apr,13-Mar,15-Mar,16-Feb,0-10,8-Feb,8-Feb,Apr-48,22-Aug,7-Jan,May-44,0-3,0-14,12-Mar,13-Jan,11-Feb,12-Apr,5-Feb
