Rk,Team,Overall,,,,,,,,,,,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,73-9,,,,,,,,,,,48-4,25-5,2-Jul,44-5,Mar-00,16-0,2-Nov,14-2,1-Sep,15-2,2-May
2,San Antonio Spurs,67-15,,,,,,,,,,,45-8,22-7,4-Apr,44-6,1-Jan,13-3,14-2,2-Nov,1-Nov,13-3,3-Apr
3,Cleveland Cavaliers,57-25,,,,,,,,,,,38-14,19-11,7-Apr,32-8,1-Feb,3-Nov,5-Aug,13-3,5-Aug,5-Nov,3-Apr
4,Toronto Raptors,56-26,,,,,,,,,,,35-17,21-9,6-Jun,28-10,Feb-00,7-Sep,6-Sep,2-Dec,4-Jul,5-Nov,2-Jun
5,Oklahoma City Thunder,55-27,,,,,,,,,,,40-14,15-13,6-Aug,33-5,Feb-00,7-Sep,3-Dec,13-3,5-Jun,5-Nov,4-Feb
6,Los Angeles Clippers,53-29,,,,,,,,,,,35-18,18-11,4-Aug,28-15,Mar-00,8-Jul,5-Nov,3-Nov,4-Jul,8-Aug,1-Jun
7,Atlanta Hawks,48-34,,,,,,,,,,,31-24,17-10,7-May,29-17,1-Feb,7-Oct,5-Sep,9-Jun,5-Jun,4-Dec,3-Mar
8,Boston Celtics,48-34,,,,,,,,,,,32-23,16-11,7-May,26-13,1-Jan,7-Sep,6-Aug,8-Sep,3-Sep,7-Jul,2-May
9,Charlotte Hornets,48-34,,,,,,,,,,,27-26,21-8,5-Jun,25-17,0-2,5-Oct,7-Jul,11-Jun,3-Jul,13-3,3-May
10,Miami Heat,48-34,,,,,,,,,,,29-24,19-10,5-Jul,24-20,1-Jan,5-Sep,7-Aug,8-Sep,5-Jun,5-Oct,3-May
11,Indiana Pacers,45-37,,,,,,,,,,,28-25,17-12,9-Sep,21-13,0-3,2-Nov,9-Jul,8-Jul,7-Jun,7-Aug,1-Jun
12,Detroit Pistons,44-38,,,,,,,,,,,27-27,17-11,5-Jun,21-20,Mar-00,9-Jun,6-Sep,8-Jul,6-Jun,6-Sep,3-Apr
13,Portland Trail Blazers,44-38,,,,,,,,,,,27-27,17-11,7-Feb,23-21,2-Jan,9-Jun,10-Jul,5-Sep,2-Sep,8-Aug,2-Apr
14,Dallas Mavericks,42-40,,,,,,,,,,,29-26,13-14,11-Jun,19-18,1-Jan,7-Sep,5-Sep,9-Sep,6-Apr,10-May,2-May
15,Memphis Grizzlies,42-40,,,,,,,,,,,31-22,18-Nov,3-Aug,15-23,1-Feb,7-Aug,8-Aug,4-Oct,4-Jul,10-Jun,6-Jan
16,Chicago Bulls,42-40,,,,,,,,,,,27-25,15-15,4-Oct,14-19,1-Feb,4-Aug,7-Aug,8-Aug,8-Apr,9-Aug,3-Apr
17,Houston Rockets,41-41,,,,,,,,,,,27-28,14-13,8-May,14-18,0-2,9-Jul,7-Sep,7-Sep,6-Apr,8-Aug,2-Apr
18,Washington Wizards,41-41,,,,,,,,,,,23-28,18-13,6-Jul,22-22,1-Feb,7-Apr,8-Aug,8-Jul,6-Aug,9-Jul,2-May
19,Utah Jazz,40-42,,,,,,,,,,,26-26,14-16,8-Jun,23-13,1-Feb,7-Jun,9-Jun,8-Jul,6-Jul,7-Sep,4-Mar
20,Orlando Magic,35-47,,,,,,,,,,,23-29,18-Dec,10-Jun,20-Dec,0-2,6-Sep,5-Oct,12-Feb,7-May,11-Jun,4-Mar
21,Denver Nuggets,33-49,,,,,,,,,,,22-32,17-Nov,5-Oct,21-Nov,1-Jan,11-May,9-Jun,9-Jun,7-May,8-Sep,4-Jan
22,Milwaukee Bucks,33-49,,,,,,,,,,,22-32,17-Nov,4-Jun,27-Dec,0-2,9-Jul,10-Jun,8-Jul,6-May,9-Jun,5-Feb
23,Sacramento Kings,33-49,,,,,,,,,,,22-31,18-Nov,4-Aug,19-Nov,2-Jan,10-Jun,8-May,7-Aug,7-Apr,11-Jun,4-Mar
24,New York Knicks,32-50,,,,,,,,,,,23-32,18-Sep,7-Apr,14-23,1-Feb,9-Jun,8-Jul,9-Aug,9-Feb,10-May,4-Feb
25,New Orleans Pelicans,30-52,,,,,,,,,,,20-33,19-Oct,5-May,23-Nov,0-3,10-Apr,9-Jun,6-Aug,7-May,12-May,5-Feb
26,Minnesota Timberwolves,29-53,,,,,,,,,,,17-37,16-Dec,7-Jul,23-Sep,Feb-00,9-Jun,12-Apr,14-Feb,6-May,9-Jun,3-Apr
27,Phoenix Suns,23-59,,,,,,,,,,,14-40,19-Sep,5-Apr,Oct-32,1-Feb,8-Jun,14-Apr,12-Feb,9-Jan,11-May,4-Mar
28,Brooklyn Nets,21-61,,,,,,,,,,,14-40,21-Jul,4-Jul,Jun-34,0-3,10-Apr,10-May,13-Mar,7-May,11-Apr,0-7
29,Los Angeles Lakers,17-65,,,,,,,,,,,Nov-44,21-Jun,7-Feb,Apr-44,0-2,12-Feb,13-Apr,14-Mar,8-Feb,10-May,6-Jan
30,Philadelphia 76ers,Oct-72,,,,,,,,,,,Aug-45,27-Feb,0-6,May-41,0-2,0-16,13-Mar,10-Apr,11-Jan,14-Jan,6-Jan
